manufacturer,country,total_positions,extracted_rows,with_analogs,source_url,source_file
SKF,Швеция,10000,10000,10000,,SKF.md
ГПЗ-4,Россия,5516,5516,3457,,ГПЗ-4.md
ISB,Италия,5359,5359,5359,,ISB.md
FAG,Германия,5075,5075,5075,,FAG.md
ГПЗ-3,Россия,4811,4811,2658,,ГПЗ-3.md
NKE,Австрия,4430,4430,4430,,NKE.md
ГПЗ-1,Россия,3800,3800,2087,,ГПЗ-1.md
SLF,Германия,3708,3708,3708,,SLF.md
CRAFT,Китай,3267,3267,3267,,CRAFT.md
ГПЗ-23,Россия,2637,2637,2055,,ГПЗ-23.md
AAA,неизвестно,2605,2605,2605,,AAA.md
BBC,Россия,2494,2494,2278,,BBC.md
ГПЗ-2,Россия,2283,2283,1628,,ГПЗ-2.md
ЕПК,Россия,2241,2241,0,,ЕПК.md
ГПЗ-11,Россия,1898,1898,1383,,ГПЗ-11.md
FLT,Польша,1812,1812,1812,,FLT.md
ГПЗ-34,Россия,1664,1664,1475,,ГПЗ-34.md
FERSA,Испания,1562,1562,1562,,FERSA.md
BARDEN,Германия,1542,1542,1542,,BARDEN.md
ГПЗ-9,Россия,1398,1398,707,,ГПЗ-9.md
KINEX,Словакия,1336,1336,1336,,KINEX.md
ГПЗ-31,Россия,1063,1063,565,,ГПЗ-31.md
INA,Германия,1015,1015,1015,,INA.md
ГПЗ-20,Россия,990,990,724,,ГПЗ-20.md
GMN,Германия,920,920,920,,GMN.md
ГПЗ-15,Россия,883,883,551,,ГПЗ-15.md
ГПЗ-8,Россия,729,729,549,,ГПЗ-8.md
МПЗ,Россия,707,707,524,,МПЗ.md
ГПЗ-5,Россия,686,686,409,,ГПЗ-5.md
ГПЗ-18,Россия,583,583,457,,ГПЗ-18.md
ГПЗ-10,Россия,550,550,432,,ГПЗ-10.md
10-ГПЗ,Россия,502,502,204,,10-ГПЗ.md
APB,неизвестно,443,443,443,,APB.md
AKE,Турция,425,425,425,,AKE.md
GRW,Германия,306,306,306,,GRW.md
ГПЗ-200,Россия,295,295,91,,ГПЗ-200.md
HCH,Китай,264,264,264,,HCH.md
ГПЗ-13,Россия,253,253,175,,ГПЗ-13.md
ABC,неизвестно,250,250,250,,ABC.md
NSK,Япония,222,222,222,,NSK.md
ГПЗ-6,Россия,194,194,176,,ГПЗ-6.md
ГПЗ-29,Россия,163,163,61,,ГПЗ-29.md
ГПЗ-28,Россия,158,158,108,,ГПЗ-28.md
ГПЗ-17,Россия,139,139,78,,ГПЗ-17.md
ГПЗ-14,Россия,119,119,92,,ГПЗ-14.md
ГПЗ-1000,Россия,113,113,58,,ГПЗ-1000.md
SNFA,Франция,111,111,111,,SNFA.md
ГПЗ-900,Россия,107,107,54,,ГПЗ-900.md
RWY,Китай,102,102,102,,RWY.md
RHP,Великобритания,100,100,100,,RHP.md
ГПЗ-800,Россия,93,93,43,,ГПЗ-800.md
ГПЗ-300,Россия,88,88,43,,ГПЗ-300.md
ГПЗ-100,Россия,87,87,40,,ГПЗ-100.md
ГПЗ-600,Россия,83,83,38,,ГПЗ-600.md
URB,Румыния,81,81,81,,URB.md
ADR,Италия,77,77,77,,ADR.md
ГПЗ-12,Россия,76,76,43,,ГПЗ-12.md
ГПЗ-33,Россия,76,76,51,,ГПЗ-33.md
СВПЗ,Россия,76,76,6,,СВПЗ.md
GPL,неизвестно,50,50,50,,GPL.md
ГПЗ-24,Россия,50,50,17,,ГПЗ-24.md
TOR,неизвестно,49,49,49,,TOR.md
ГПЗ-27,Россия,32,32,29,,ГПЗ-27.md
ГПЗ-16,Россия,31,31,11,,ГПЗ-16.md
KOYO,Япония,28,28,28,,KOYO.md
TIMKEN,США,28,28,28,,TIMKEN.md
ГПЗ-7,Россия,18,18,16,,ГПЗ-7.md
NICE,США,13,13,13,,NICE.md
STA,Италия,13,13,13,,STA.md
NDA,Италия,12,12,12,,NDA.md
PEER,США,10,10,10,,PEER.md
DKF,Германия,8,8,8,,DKF.md
ZKL,Чехия,7,7,7,,ZKL.md
NMB,Япония,5,5,5,,NMB.md
HYA,Китай,4,4,4,,HYA.md
RIV,Италия,4,4,4,,RIV.md
ГПЗ-22,Россия,4,4,1,,ГПЗ-22.md
ГПЗ-400,Россия,4,4,1,,ГПЗ-400.md
ГПЗ-19,Россия,3,3,2,,ГПЗ-19.md
ГПЗ-21,Россия,3,3,3,,ГПЗ-21.md
ГПЗ-25,Россия,3,3,3,,ГПЗ-25.md
MRC,США,2,2,2,,MRC.md
EER,неизвестно,1,1,1,,EER.md
ГПЗ-26,Россия,1,1,1,,ГПЗ-26.md
ГПЗ-700,Россия,1,1,0,,ГПЗ-700.md
