gost_designation,analog,manufacturer,source_url,source_file
2206КМ,,10-ГПЗ,,10-ГПЗ.md
2206,N206,10-ГПЗ,,10-ГПЗ.md
2207КМ,,10-ГПЗ,,10-ГПЗ.md
2207ЛМ,,10-ГПЗ,,10-ГПЗ.md
2207,N207,10-ГПЗ,,10-ГПЗ.md
2207,N207,10-ГПЗ,,10-ГПЗ.md
2208КМ,,10-ГПЗ,,10-ГПЗ.md
2208,N208,10-ГПЗ,,10-ГПЗ.md
2210КМ,,10-ГПЗ,,10-ГПЗ.md
2211КМ,,10-ГПЗ,,10-ГПЗ.md
2211,N211,10-ГПЗ,,10-ГПЗ.md
2212КМ,,10-ГПЗ,,10-ГПЗ.md
2213КМ,,10-ГПЗ,,10-ГПЗ.md
2213,N213,10-ГПЗ,,10-ГПЗ.md
2215КМ,,10-ГПЗ,,10-ГПЗ.md
2215М1,,10-ГПЗ,,10-ГПЗ.md
2215,N215,10-ГПЗ,,10-ГПЗ.md
2215,N215,10-ГПЗ,,10-ГПЗ.md
2218КМ,,10-ГПЗ,,10-ГПЗ.md
2218,N218,10-ГПЗ,,10-ГПЗ.md
2220КМ,,10-ГПЗ,,10-ГПЗ.md
2220,N220,10-ГПЗ,,10-ГПЗ.md
2224КМ,,10-ГПЗ,,10-ГПЗ.md
2224,N224,10-ГПЗ,,10-ГПЗ.md
2226КМ,,10-ГПЗ,,10-ГПЗ.md
2226М,,10-ГПЗ,,10-ГПЗ.md
2226,N226,10-ГПЗ,,10-ГПЗ.md
2226,N226,10-ГПЗ,,10-ГПЗ.md
2228КМ,,10-ГПЗ,,10-ГПЗ.md
2228,N228,10-ГПЗ,,10-ГПЗ.md
2230М,,10-ГПЗ,,10-ГПЗ.md
2230,N230,10-ГПЗ,,10-ГПЗ.md
2234КМ,,10-ГПЗ,,10-ГПЗ.md
2234,N234,10-ГПЗ,,10-ГПЗ.md
2236ЛМ,,10-ГПЗ,,10-ГПЗ.md
2236,N236,10-ГПЗ,,10-ГПЗ.md
2305АЕМ,,10-ГПЗ,,10-ГПЗ.md
2305,N305,10-ГПЗ,,10-ГПЗ.md
2306КМ,,10-ГПЗ,,10-ГПЗ.md
2306,N306,10-ГПЗ,,10-ГПЗ.md
2307КМ,,10-ГПЗ,,10-ГПЗ.md
2307,N307,10-ГПЗ,,10-ГПЗ.md
2309КМ,,10-ГПЗ,,10-ГПЗ.md
2309М1,,10-ГПЗ,,10-ГПЗ.md
2309,N309,10-ГПЗ,,10-ГПЗ.md
2309,N309,10-ГПЗ,,10-ГПЗ.md
2310КМ,,10-ГПЗ,,10-ГПЗ.md
2310М1,,10-ГПЗ,,10-ГПЗ.md
2310,N310,10-ГПЗ,,10-ГПЗ.md
2310,N310,10-ГПЗ,,10-ГПЗ.md
2311К1М,,10-ГПЗ,,10-ГПЗ.md
2311М,,10-ГПЗ,,10-ГПЗ.md
2311,N311,10-ГПЗ,,10-ГПЗ.md
2311,N311,10-ГПЗ,,10-ГПЗ.md
2312КМ,,10-ГПЗ,,10-ГПЗ.md
2312М1,,10-ГПЗ,,10-ГПЗ.md
2312,N312,10-ГПЗ,,10-ГПЗ.md
2312,N312,10-ГПЗ,,10-ГПЗ.md
2313КМ,,10-ГПЗ,,10-ГПЗ.md
2313М1,,10-ГПЗ,,10-ГПЗ.md
2313,N313,10-ГПЗ,,10-ГПЗ.md
2313,N313,10-ГПЗ,,10-ГПЗ.md
2314КМ,,10-ГПЗ,,10-ГПЗ.md
2314М1,,10-ГПЗ,,10-ГПЗ.md
2314,N314,10-ГПЗ,,10-ГПЗ.md
2314,N314,10-ГПЗ,,10-ГПЗ.md
2315КМ,,10-ГПЗ,,10-ГПЗ.md
2315,N315,10-ГПЗ,,10-ГПЗ.md
2317КМ,,10-ГПЗ,,10-ГПЗ.md
2317,N317,10-ГПЗ,,10-ГПЗ.md
2318КМ,,10-ГПЗ,,10-ГПЗ.md
2318,N318,10-ГПЗ,,10-ГПЗ.md
2320КМ,,10-ГПЗ,,10-ГПЗ.md
2320,N320,10-ГПЗ,,10-ГПЗ.md
2322М,,10-ГПЗ,,10-ГПЗ.md
2322,N322,10-ГПЗ,,10-ГПЗ.md
2324М,,10-ГПЗ,,10-ГПЗ.md
2324,N324,10-ГПЗ,,10-ГПЗ.md
2326М,,10-ГПЗ,,10-ГПЗ.md
2326,N326,10-ГПЗ,,10-ГПЗ.md
2409КМ,,10-ГПЗ,,10-ГПЗ.md
2409,N409,10-ГПЗ,,10-ГПЗ.md
2505АЕМ,,10-ГПЗ,,10-ГПЗ.md
2609КМ,,10-ГПЗ,,10-ГПЗ.md
2609ЛМ,,10-ГПЗ,,10-ГПЗ.md
2609,N2309,10-ГПЗ,,10-ГПЗ.md
2609,N2309,10-ГПЗ,,10-ГПЗ.md
2615КМ,,10-ГПЗ,,10-ГПЗ.md
2615,N2315,10-ГПЗ,,10-ГПЗ.md
6-7212А,,10-ГПЗ,,10-ГПЗ.md
7212,30212,10-ГПЗ,,10-ГПЗ.md
6-7217А,,10-ГПЗ,,10-ГПЗ.md
7217,30217,10-ГПЗ,,10-ГПЗ.md
6-7218А,,10-ГПЗ,,10-ГПЗ.md
7218,30218,10-ГПЗ,,10-ГПЗ.md
6-7305А,,10-ГПЗ,,10-ГПЗ.md
7305,30305,10-ГПЗ,,10-ГПЗ.md
6-7307А,,10-ГПЗ,,10-ГПЗ.md
7307,30307,10-ГПЗ,,10-ГПЗ.md
6-7310А,,10-ГПЗ,,10-ГПЗ.md
7310,30310,10-ГПЗ,,10-ГПЗ.md
6-7312А,,10-ГПЗ,,10-ГПЗ.md
7312,30312,10-ГПЗ,,10-ГПЗ.md
6-7314А,,10-ГПЗ,,10-ГПЗ.md
7314,30314,10-ГПЗ,,10-ГПЗ.md
6-7509А,,10-ГПЗ,,10-ГПЗ.md
7509,32209,10-ГПЗ,,10-ГПЗ.md
6-7510А,,10-ГПЗ,,10-ГПЗ.md
7510,32210,10-ГПЗ,,10-ГПЗ.md
6-7513А,,10-ГПЗ,,10-ГПЗ.md
7513,32213,10-ГПЗ,,10-ГПЗ.md
6-7515А,,10-ГПЗ,,10-ГПЗ.md
7515,32215,10-ГПЗ,,10-ГПЗ.md
6-7516А1,,10-ГПЗ,,10-ГПЗ.md
7516,32216,10-ГПЗ,,10-ГПЗ.md
6-7517А,,10-ГПЗ,,10-ГПЗ.md
7517,32217,10-ГПЗ,,10-ГПЗ.md
6-7518А,,10-ГПЗ,,10-ГПЗ.md
7518,32218,10-ГПЗ,,10-ГПЗ.md
6-7520А,,10-ГПЗ,,10-ГПЗ.md
7520,32220,10-ГПЗ,,10-ГПЗ.md
6-7607А,,10-ГПЗ,,10-ГПЗ.md
7607,32307,10-ГПЗ,,10-ГПЗ.md
6-7609А,,10-ГПЗ,,10-ГПЗ.md
7609,32309,10-ГПЗ,,10-ГПЗ.md
6-7610А,,10-ГПЗ,,10-ГПЗ.md
7610,32310,10-ГПЗ,,10-ГПЗ.md
6-7612А,,10-ГПЗ,,10-ГПЗ.md
7612,32312,10-ГПЗ,,10-ГПЗ.md
6-7613А,,10-ГПЗ,,10-ГПЗ.md
7613,32313,10-ГПЗ,,10-ГПЗ.md
6-7614А,,10-ГПЗ,,10-ГПЗ.md
7614,32314,10-ГПЗ,,10-ГПЗ.md
6-7815А,,10-ГПЗ,,10-ГПЗ.md
12115ЕМ,,10-ГПЗ,,10-ГПЗ.md
12207КМ,,10-ГПЗ,,10-ГПЗ.md
12207,NF207,10-ГПЗ,,10-ГПЗ.md
12208КМ,,10-ГПЗ,,10-ГПЗ.md
12208,NF208,10-ГПЗ,,10-ГПЗ.md
12210КМ,,10-ГПЗ,,10-ГПЗ.md
12210,NF210,10-ГПЗ,,10-ГПЗ.md
12211КМ,,10-ГПЗ,,10-ГПЗ.md
12211,NF211,10-ГПЗ,,10-ГПЗ.md
12212КМ,,10-ГПЗ,,10-ГПЗ.md
12212,NF212,10-ГПЗ,,10-ГПЗ.md
12213К1М,,10-ГПЗ,,10-ГПЗ.md
12213,NF213,10-ГПЗ,,10-ГПЗ.md
12218КМ,,10-ГПЗ,,10-ГПЗ.md
12218,NF218,10-ГПЗ,,10-ГПЗ.md
12307КМ,,10-ГПЗ,,10-ГПЗ.md
12307,NF307,10-ГПЗ,,10-ГПЗ.md
12309КМ,,10-ГПЗ,,10-ГПЗ.md
12309,NF309,10-ГПЗ,,10-ГПЗ.md
12310КМ,,10-ГПЗ,,10-ГПЗ.md
12310М1,,10-ГПЗ,,10-ГПЗ.md
12310,NF310,10-ГПЗ,,10-ГПЗ.md
12310,NF310,10-ГПЗ,,10-ГПЗ.md
12311К1М,,10-ГПЗ,,10-ГПЗ.md
12311М1,,10-ГПЗ,,10-ГПЗ.md
12311,NF311,10-ГПЗ,,10-ГПЗ.md
12311,NF311,10-ГПЗ,,10-ГПЗ.md
12312КМ,,10-ГПЗ,,10-ГПЗ.md
12312,NF312,10-ГПЗ,,10-ГПЗ.md
12315КМ,,10-ГПЗ,,10-ГПЗ.md
12315,NF315,10-ГПЗ,,10-ГПЗ.md
12318КМ,,10-ГПЗ,,10-ГПЗ.md
12318,NF318,10-ГПЗ,,10-ГПЗ.md
12409КМ,,10-ГПЗ,,10-ГПЗ.md
12409,NF409,10-ГПЗ,,10-ГПЗ.md
12410КМ,,10-ГПЗ,,10-ГПЗ.md
12410,NF410,10-ГПЗ,,10-ГПЗ.md
12507КМ,,10-ГПЗ,,10-ГПЗ.md
12507,NF2207,10-ГПЗ,,10-ГПЗ.md
12605КМ,,10-ГПЗ,,10-ГПЗ.md
12605,NF2305,10-ГПЗ,,10-ГПЗ.md
12609К1М,,10-ГПЗ,,10-ГПЗ.md
12609ЛМ,,10-ГПЗ,,10-ГПЗ.md
12609,NF2309,10-ГПЗ,,10-ГПЗ.md
12609,NF2309,10-ГПЗ,,10-ГПЗ.md
12611М1,,10-ГПЗ,,10-ГПЗ.md
12611М1,,10-ГПЗ,,10-ГПЗ.md
12613КМ,,10-ГПЗ,,10-ГПЗ.md
12613,NF2313,10-ГПЗ,,10-ГПЗ.md
6-27313А,,10-ГПЗ,,10-ГПЗ.md
27313,31313,10-ГПЗ,,10-ГПЗ.md
32205АЕМ1,,10-ГПЗ,,10-ГПЗ.md
32205,NU205,10-ГПЗ,,10-ГПЗ.md
32206АКМ,,10-ГПЗ,,10-ГПЗ.md
32206,NU206,10-ГПЗ,,10-ГПЗ.md
32207КМ,,10-ГПЗ,,10-ГПЗ.md
32207,NU207,10-ГПЗ,,10-ГПЗ.md
32208КМ,,10-ГПЗ,,10-ГПЗ.md
32208,NU208,10-ГПЗ,,10-ГПЗ.md
32209ЕМ,,10-ГПЗ,,10-ГПЗ.md
32209,NU209,10-ГПЗ,,10-ГПЗ.md
32210КМ,,10-ГПЗ,,10-ГПЗ.md
32210,NU210,10-ГПЗ,,10-ГПЗ.md
32211КМ,,10-ГПЗ,,10-ГПЗ.md
32211,NU211,10-ГПЗ,,10-ГПЗ.md
32212К1М,,10-ГПЗ,,10-ГПЗ.md
32212,NU212,10-ГПЗ,,10-ГПЗ.md
32213КМ,,10-ГПЗ,,10-ГПЗ.md
32213,NU213,10-ГПЗ,,10-ГПЗ.md
32216К1М,,10-ГПЗ,,10-ГПЗ.md
32216,NU216,10-ГПЗ,,10-ГПЗ.md
32218К1М,,10-ГПЗ,,10-ГПЗ.md
32218,NU218,10-ГПЗ,,10-ГПЗ.md
32226М,,10-ГПЗ,,10-ГПЗ.md
32226,NU226,10-ГПЗ,,10-ГПЗ.md
32228М,,10-ГПЗ,,10-ГПЗ.md
32228,NU228,10-ГПЗ,,10-ГПЗ.md
32306К2М,,10-ГПЗ,,10-ГПЗ.md
32306,NU306,10-ГПЗ,,10-ГПЗ.md
32307КМ,,10-ГПЗ,,10-ГПЗ.md
32307,NU307,10-ГПЗ,,10-ГПЗ.md
32308К1М,,10-ГПЗ,,10-ГПЗ.md
32308,NU308,10-ГПЗ,,10-ГПЗ.md
32309К1М,,10-ГПЗ,,10-ГПЗ.md
